일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20190128,1800,마포구,1.2,49,0,1.5,101,2019-01-28,1
20190128,1900,마포구,1.2,42,0,0.8,101,2019-01-28,1
20190128,700,송파구,1.2,24,0,2.6,86,2019-01-28,1
20190128,800,송파구,1.2,26,0,2.6,86,2019-01-28,1
20190128,1800,송파구,1.2,45,0,0.4,86,2019-01-28,1
20190128,1900,송파구,1.2,51,0,0.3,86,2019-01-28,1
20190128,700,영등포구,1.2,26,0,4,93,2019-01-28,1
20190128,800,영등포구,1.2,28,0,3.9,93,2019-01-28,1
20190128,1800,영등포구,1.2,49,0,1.5,93,2019-01-28,1
20190128,1900,영등포구,1.2,42,0,0.8,93,2019-01-28,1
20190129,700,강서구,-0.2,26,0,1,77,2019-01-29,2
20190129,800,강서구,-0.2,44,0,1.2,77,2019-01-29,2
20190129,1800,강서구,-0.2,0,0,0.4,77,2019-01-29,2
20190129,1900,강서구,-0.2,52,0,0,77,2019-01-29,2
20190129,700,마포구,-0.2,26,0,1.7,82,2019-01-29,2
20190129,800,마포구,-0.2,33,0,1.4,82,2019-01-29,2
20190129,1800,마포구,-0.2,56,0,0.4,82,2019-01-29,2
20190129,1900,마포구,-0.2,72,0,0,82,2019-01-29,2
20190129,700,송파구,-0.2,26,0,1,74,2019-01-29,2
20190129,800,송파구,-0.2,31,0,2.2,74,2019-01-29,2
20190129,1800,송파구,-0.2,59,0,0.1,74,2019-01-29,2
20190129,1900,송파구,-0.2,54,0,0.1,74,2019-01-29,2
20190129,700,영등포구,-0.2,26,0,1.7,76,2019-01-29,2
20190129,800,영등포구,-0.2,33,0,1.4,76,2019-01-29,2
20190129,1800,영등포구,-0.2,56,0,0.4,76,2019-01-29,2
20190129,1900,영등포구,-0.2,72,0,0,76,2019-01-29,2
20190130,700,강서구,1.8,63,0,2.1,75,2019-01-30,3
20190130,800,강서구,1.8,69,0,1.2,75,2019-01-30,3
20190130,1800,강서구,1.8,43,0,1.3,75,2019-01-30,3
20190130,1900,강서구,1.8,40,0,2,75,2019-01-30,3
20190130,700,마포구,1.8,65,0,2.8,71,2019-01-30,3
20190130,800,마포구,1.8,65,0,1.9,71,2019-01-30,3
20190130,1800,마포구,1.8,43,0,3.8,71,2019-01-30,3
20190130,1900,마포구,1.8,41,0,2.8,71,2019-01-30,3
20190130,700,송파구,1.8,54,0,1.9,67,2019-01-30,3
20190130,800,송파구,1.8,62,0,1.9,67,2019-01-30,3
20190130,1800,송파구,1.8,68,0,1.7,67,2019-01-30,3
20190130,1900,송파구,1.8,47,0,1.9,67,2019-01-30,3
20190130,700,영등포구,1.8,65,0,2.8,70,2019-01-30,3
20190130,800,영등포구,1.8,65,0,1.9,70,2019-01-30,3
